Chr	start	stop	V4	V5	V6	M24C1_LSD1	M24C2_LSD1	M24D1_LSD1	M24D2_LSD1	M24G1_LSD1	M24G2_LSD1	M24Q1_LSD1	M24Q2_LSD1
chr13	31037456	31037661	LSD1_peak_4539	0	.	12	16	24	14	23	23	15	21
chr13	31039100	31039681	LSD1_peak_4540	0	.	62	80	110	117	81	97	112	114
chr13	31039959	31040236	LSD1_peak_4541	0	.	7	13	18	25	25	20	40	20
chr13	31045913	31046189	LSD1_peak_4542	0	.	31	29	37	25	21	24	25	15
chr13	31161483	31161884	LSD1_peak_4543	0	.	41	26	27	37	36	46	50	42
chr13	31162178	31162260	LSD1_peak_4544	0	.	11	16	16	16	9	10	17	8
chr13	31631012	31631477	LSD1_peak_4545	0	.	32	37	50	41	52	56	20	37
chr13	31807087	31807469	LSD1_peak_4546	0	.	44	45	66	48	55	72	41	50
chr13	31814521	31814900	LSD1_peak_4547	0	.	28	47	35	50	46	56	51	32
chr13	31903608	31903636	LSD1_peak_4548	0	.	2	6	3	7	4	4	5	11
chr13	31909143	31909319	LSD1_peak_4549	0	.	15	19	25	10	11	20	23	15
chr13	31910653	31911060	LSD1_peak_4550	0	.	71	44	31	37	44	39	36	44
chr13	31920203	31921121	LSD1_peak_4551	0	.	112	85	90	99	80	152	133	142
chr13	31924264	31924468	LSD1_peak_4552	0	.	13	20	10	33	28	13	18	16
chr13	31929505	31929578	LSD1_peak_4553	0	.	10	6	7	8	7	12	8	8
chr13	31929921	31931049	LSD1_peak_4554	0	.	71	65	103	90	99	107	141	130
chr13	31948378	31948523	LSD1_peak_4555	0	.	14	7	12	8	13	16	16	14
chr13	31949789	31950022	LSD1_peak_4556	0	.	18	10	22	34	11	13	16	15
chr13	31950282	31950887	LSD1_peak_4557	0	.	53	83	39	82	70	79	120	64
chr13	31951296	31951891	LSD1_peak_4558	0	.	73	68	119	72	95	94	118	93
chr13	32001182	32001712	LSD1_peak_4559	0	.	78	84	115	71	74	111	83	95
chr13	32029453	32030528	LSD1_peak_4560	0	.	109	119	104	131	94	147	137	126
chr13	32030892	32030936	LSD1_peak_4561	0	.	10	14	4	18	13	12	22	15
chr13	32031226	32032059	LSD1_peak_4562	0	.	98	151	124	159	141	163	191	154
chr13	32032886	32033614	LSD1_peak_4563	0	.	74	83	98	98	109	111	138	82
chr13	32034683	32035111	LSD1_peak_4564	0	.	29	51	67	56	67	44	53	33
chr13	32035913	32036101	LSD1_peak_4565	0	.	19	22	28	41	24	31	32	22
chr13	32046382	32046532	LSD1_peak_4566	0	.	14	9	18	15	16	22	14	18
chr13	32046849	32046860	LSD1_peak_4567	0	.	2	2	3	5	2	2	2	3
chr13	32047705	32048378	LSD1_peak_4568	0	.	63	73	74	98	94	115	97	69
chr13	32107746	32108248	LSD1_peak_4569	0	.	32	36	55	53	23	29	48	41
chr13	32108525	32108855	LSD1_peak_4570	0	.	9	25	14	28	17	33	26	43
chr13	32109733	32109893	LSD1_peak_4571	0	.	15	10	20	11	7	30	19	22
chr13	32111435	32111536	LSD1_peak_4572	0	.	8	8	8	12	18	21	14	10
chr13	32111853	32111895	LSD1_peak_4573	0	.	5	3	4	5	5	9	6	5
chr13	32112588	32112886	LSD1_peak_4574	0	.	26	29	24	23	34	45	31	27
chr13	32114277	32115085	LSD1_peak_4575	0	.	43	78	70	100	72	79	116	112
chr13	32115342	32118408	LSD1_peak_4576	0	.	340	292	393	447	331	515	425	447
chr13	32119529	32119775	LSD1_peak_4577	0	.	17	22	8	27	10	35	18	35
chr13	32124693	32126299	LSD1_peak_4578	0	.	190	192	294	334	262	281	265	275
chr13	32126533	32127246	LSD1_peak_4579	0	.	47	47	48	44	82	79	68	90
chr13	32127559	32127566	LSD1_peak_4580	0	.	2	1	0	5	1	1	2	1
chr13	32309151	32309761	LSD1_peak_4581	0	.	40	40	52	46	54	65	85	89
chr13	32314388	32315749	LSD1_peak_4582	0	.	161	194	272	286	183	235	284	189
chr13	32316097	32317238	LSD1_peak_4583	0	.	81	118	113	148	125	164	168	166
chr13	32317551	32318231	LSD1_peak_4584	0	.	69	82	92	63	88	51	107	99
chr13	32425821	32426150	LSD1_peak_4585	0	.	24	23	18	25	27	18	31	55
chr13	32427864	32427986	LSD1_peak_4586	0	.	14	6	22	12	21	15	18	17
chr13	32428142	32429476	LSD1_peak_4587	0	.	144	144	247	260	171	227	256	228
chr13	32539191	32539566	LSD1_peak_4588	0	.	22	37	24	30	24	43	39	27
chr13	32548389	32549137	LSD1_peak_4589	0	.	103	69	142	132	109	118	110	139
chr13	32587383	32587617	LSD1_peak_4590	0	.	22	34	31	33	15	27	18	41
chr13	32588124	32588146	LSD1_peak_4591	0	.	5	5	7	5	4	4	2	3
chr13	32894423	32895845	LSD1_peak_4592	0	.	189	249	385	283	274	394	369	298
chr13	33123633	33123946	LSD1_peak_4593	0	.	22	40	49	29	18	67	27	50
chr13	33355260	33355671	LSD1_peak_4594	0	.	26	45	65	30	43	43	43	33
chr13	33363317	33364269	LSD1_peak_4595	0	.	126	205	104	144	157	193	175	152
chr13	33367750	33368409	LSD1_peak_4596	0	.	49	67	45	64	73	81	84	73
chr13	33717794	33717977	LSD1_peak_4597	0	.	13	20	23	15	32	21	17	23
chr13	33728488	33729202	LSD1_peak_4598	0	.	59	75	151	95	118	112	83	85
chr13	33743492	33743849	LSD1_peak_4599	0	.	37	41	12	15	17	10	31	9
chr13	33743921	33744511	LSD1_peak_4600	0	.	51	50	62	82	71	86	88	91
chr13	33757510	33757747	LSD1_peak_4601	0	.	25	25	19	34	24	26	41	37
chr13	33787228	33787482	LSD1_peak_4602	0	.	14	12	17	11	16	12	21	20
chr13	33818121	33818168	LSD1_peak_4603	0	.	3	5	19	12	12	6	14	14
chr13	34256234	34256713	LSD1_peak_4604	0	.	53	57	83	52	37	51	83	51
chr13	34257612	34258053	LSD1_peak_4605	0	.	21	60	27	36	40	49	39	48
chr13	34258338	34258428	LSD1_peak_4606	0	.	10	8	4	16	8	14	19	10
chr13	35722331	35723173	LSD1_peak_4607	0	.	79	94	187	189	143	220	85	135
chr13	36345404	36346717	LSD1_peak_4608	0	.	117	143	178	188	160	180	203	189
chr13	36413304	36413746	LSD1_peak_4609	0	.	33	39	58	42	30	37	48	67
chr13	36414151	36415249	LSD1_peak_4610	0	.	135	133	111	108	128	113	124	141
chr13	36415684	36416051	LSD1_peak_4611	0	.	53	48	54	33	62	34	31	47
chr13	36416267	36416532	LSD1_peak_4612	0	.	18	40	33	28	31	22	30	36
chr13	36417045	36417431	LSD1_peak_4613	0	.	35	32	44	31	55	52	51	38
chr13	36417533	36418493	LSD1_peak_4614	0	.	87	122	161	183	175	182	183	168
chr13	36418543	36418687	LSD1_peak_4615	0	.	15	15	13	26	16	26	17	13
chr13	36426517	36426927	LSD1_peak_4616	0	.	34	20	22	28	38	46	13	27
chr13	36431411	36432554	LSD1_peak_4617	0	.	72	128	130	165	144	157	169	140
chr13	36445304	36445922	LSD1_peak_4618	0	.	32	46	67	81	70	91	93	62
chr13	36450392	36450911	LSD1_peak_4619	0	.	40	42	63	89	73	49	79	58
chr13	36451180	36452050	LSD1_peak_4620	0	.	97	98	149	162	145	158	159	82
chr13	36452906	36453044	LSD1_peak_4621	0	.	17	15	12	10	14	31	14	18
chr13	36480900	36481185	LSD1_peak_4622	0	.	40	28	48	64	35	49	33	47
chr13	36819433	36819730	LSD1_peak_4623	0	.	28	43	38	33	24	42	30	29
chr13	36973292	36974382	LSD1_peak_4624	0	.	62	124	86	73	119	106	115	117
chr13	36974865	36975198	LSD1_peak_4625	0	.	18	20	21	18	31	28	24	20
chr13	36976111	36977071	LSD1_peak_4626	0	.	71	77	80	103	75	96	69	87
chr13	37000549	37001145	LSD1_peak_4627	0	.	78	68	90	111	75	83	100	107
chr13	37701516	37701717	LSD1_peak_4628	0	.	24	23	8	12	18	28	11	20
chr13	39451658	39452177	LSD1_peak_4629	0	.	21	67	90	88	63	98	76	73
chr13	40376801	40376998	LSD1_peak_4630	0	.	11	15	12	9	16	13	12	13
chr13	40399155	40399164	LSD1_peak_4631	0	.	3	5	1	2	5	1	4	5
chr13	40399735	40400370	LSD1_peak_4632	0	.	45	80	114	130	126	162	84	99
chr13	40401778	40402746	LSD1_peak_4633	0	.	83	84	222	187	175	175	119	157
chr13	40630007	40630399	LSD1_peak_4634	0	.	39	32	68	43	43	52	51	50
chr13	40641034	40641448	LSD1_peak_4635	0	.	39	67	61	62	61	76	37	43
chr13	40665031	40665511	LSD1_peak_4636	0	.	24	22	14	24	28	42	46	46
chr13	40781361	40782447	LSD1_peak_4637	0	.	96	106	138	141	141	161	160	113
chr13	40783023	40783183	LSD1_peak_4638	0	.	11	1	11	12	11	11	15	16
chr13	40788631	40788963	LSD1_peak_4639	0	.	47	51	31	58	47	66	26	26
chr13	40789144	40789530	LSD1_peak_4640	0	.	33	45	35	39	39	62	63	57
chr13	40811975	40812497	LSD1_peak_4641	0	.	36	42	44	48	50	63	56	58
chr13	40960984	40962047	LSD1_peak_4642	0	.	91	95	116	151	132	170	160	153
chr13	40962274	40962680	LSD1_peak_4643	0	.	32	28	23	23	23	33	44	67
chr13	40965799	40967005	LSD1_peak_4644	0	.	116	154	239	211	187	250	176	174
chr13	40967279	40967686	LSD1_peak_4645	0	.	21	12	34	42	30	54	53	45
chr13	40980008	40980312	LSD1_peak_4646	0	.	28	19	26	35	15	32	38	30
chr13	40981277	40982099	LSD1_peak_4647	0	.	51	78	144	90	100	114	100	124
chr13	40982189	40982796	LSD1_peak_4648	0	.	68	64	53	69	84	82	61	66
chr13	40982913	40983414	LSD1_peak_4649	0	.	36	47	58	87	44	51	61	63
chr13	40997355	40997624	LSD1_peak_4650	0	.	31	21	26	29	36	42	21	27
chr13	40999501	40999890	LSD1_peak_4651	0	.	34	40	61	62	55	63	51	37
chr13	41004245	41005579	LSD1_peak_4652	0	.	133	148	204	188	209	233	224	239
chr13	41007114	41008911	LSD1_peak_4653	0	.	237	193	232	251	205	267	262	268
chr13	41013469	41013548	LSD1_peak_4654	0	.	6	10	11	9	3	10	9	9
chr13	41017415	41018610	LSD1_peak_4655	0	.	119	117	121	154	119	184	187	187
chr13	41018942	41019573	LSD1_peak_4656	0	.	49	69	104	92	100	95	101	72
chr13	41049278	41049433	LSD1_peak_4657	0	.	7	11	4	15	12	30	13	20
chr13	41049461	41050246	LSD1_peak_4658	0	.	70	110	86	103	102	136	93	93
chr13	41059019	41059114	LSD1_peak_4659	0	.	17	15	16	13	13	20	23	16
chr13	41059426	41059529	LSD1_peak_4660	0	.	6	12	14	20	22	19	20	20
chr13	41060087	41060721	LSD1_peak_4661	0	.	69	100	70	101	62	138	90	96
chr13	41060986	41062047	LSD1_peak_4662	0	.	104	103	194	124	130	144	189	183
chr13	41289242	41289943	LSD1_peak_4663	0	.	60	69	187	152	69	89	139	101
chr13	41311004	41311454	LSD1_peak_4664	0	.	62	87	92	100	75	111	87	92
chr13	41311923	41312150	LSD1_peak_4665	0	.	12	35	23	23	19	31	36	41
chr13	41324421	41324880	LSD1_peak_4666	0	.	36	39	37	80	51	32	36	36
chr13	41457605	41458689	LSD1_peak_4667	0	.	117	156	124	109	134	141	158	128
chr13	41458741	41459120	LSD1_peak_4668	0	.	26	51	32	39	54	42	52	44
chr13	41461604	41461956	LSD1_peak_4669	0	.	21	22	32	26	27	48	25	37
chr13	41463058	41463572	LSD1_peak_4670	0	.	44	57	80	64	39	79	66	74
chr13	41465090	41465781	LSD1_peak_4671	0	.	88	80	140	72	73	106	92	65
chr13	41492170	41492839	LSD1_peak_4672	0	.	91	91	83	84	81	121	93	105
chr13	41694878	41695142	LSD1_peak_4673	0	.	18	17	17	49	26	35	33	48
chr13	41836953	41837214	LSD1_peak_4674	0	.	8	12	26	5	18	11	21	26
chr13	41861671	41861854	LSD1_peak_4675	0	.	24	29	10	13	17	21	11	12
chr13	41864493	41865028	LSD1_peak_4676	0	.	48	56	120	81	78	85	57	81
chr13	41955693	41955862	LSD1_peak_4677	0	.	30	26	44	34	51	35	30	21
chr13	41960691	41961021	LSD1_peak_4678	0	.	36	48	39	44	40	49	69	44
chr13	42040037	42040758	LSD1_peak_4679	0	.	57	76	77	77	76	80	109	76
chr13	42274814	42275107	LSD1_peak_4680	0	.	22	24	33	38	46	40	32	48
chr13	42377613	42378255	LSD1_peak_4681	0	.	66	61	84	62	65	99	98	85
chr13	42486749	42487250	LSD1_peak_4682	0	.	39	46	73	79	61	88	49	69
chr13	42720339	42720629	LSD1_peak_4683	0	.	16	49	105	29	45	74	40	28
chr13	42893047	42893541	LSD1_peak_4684	0	.	37	25	62	47	58	56	48	36
chr13	43374529	43374832	LSD1_peak_4685	0	.	20	24	63	62	30	46	49	39
chr13	43879099	43879461	LSD1_peak_4686	0	.	40	51	33	62	30	38	36	47
chr13	44089161	44089439	LSD1_peak_4687	0	.	35	26	28	48	41	42	36	48
chr13	44577559	44578170	LSD1_peak_4688	0	.	99	68	89	113	85	121	128	103
chr13	44918455	44918659	LSD1_peak_4689	0	.	19	16	23	22	24	55	17	29
chr13	45058734	45058878	LSD1_peak_4690	0	.	12	19	13	20	28	17	24	12
chr13	45120227	45120622	LSD1_peak_4691	0	.	12	36	32	47	28	49	44	46
chr13	45219840	45220438	LSD1_peak_4692	0	.	45	39	52	47	67	74	71	69
chr13	45276884	45277416	LSD1_peak_4693	0	.	58	69	65	84	91	90	63	62
chr13	45320250	45320367	LSD1_peak_4694	0	.	10	6	12	19	15	10	17	7
chr13	45330048	45330603	LSD1_peak_4695	0	.	40	41	36	27	48	58	46	30
chr13	45341705	45342350	LSD1_peak_4696	0	.	69	59	74	73	58	101	96	124
chr13	45367348	45367811	LSD1_peak_4697	0	.	57	51	69	36	64	105	58	45
chr13	45416635	45417639	LSD1_peak_4698	0	.	86	111	124	139	136	113	151	108
chr13	45417915	45418267	LSD1_peak_4699	0	.	36	44	48	38	35	46	67	48
chr13	45695445	45695890	LSD1_peak_4700	0	.	36	59	55	58	39	53	54	66
chr13	45825365	45825906	LSD1_peak_4701	0	.	35	43	47	35	48	44	41	46
chr13	45826319	45827237	LSD1_peak_4702	0	.	82	88	111	95	79	112	89	104
chr13	45827791	45828844	LSD1_peak_4703	0	.	75	108	111	111	150	120	131	137
chr13	45847013	45847385	LSD1_peak_4704	0	.	6	47	26	30	35	38	32	49
chr13	45847732	45848124	LSD1_peak_4705	0	.	61	52	62	58	49	55	56	48
chr13	46101009	46101607	LSD1_peak_4706	0	.	37	39	25	57	27	38	62	54
chr13	46101852	46102101	LSD1_peak_4707	0	.	23	38	34	35	32	38	23	28
chr13	46170671	46171831	LSD1_peak_4708	0	.	93	122	166	211	155	201	226	177
chr13	46172555	46174412	LSD1_peak_4709	0	.	147	163	209	236	189	192	236	188
chr13	46175589	46176393	LSD1_peak_4710	0	.	61	55	75	52	113	128	89	64
chr13	46176593	46181119	LSD1_peak_4711	0	.	449	530	623	748	622	688	724	681
chr13	46181479	46181499	LSD1_peak_4712	0	.	5	2	2	6	4	11	5	2
chr13	46181783	46182675	LSD1_peak_4713	0	.	74	104	147	121	104	137	110	105
chr13	46197493	46198078	LSD1_peak_4714	0	.	73	44	46	94	58	58	103	75
chr13	46199111	46199297	LSD1_peak_4715	0	.	13	16	10	12	15	17	18	22
chr13	46199776	46200741	LSD1_peak_4716	0	.	61	101	111	127	126	169	131	124
chr13	46211514	46211957	LSD1_peak_4717	0	.	64	41	46	90	35	55	68	72
chr13	46294857	46297453	LSD1_peak_4718	0	.	212	266	452	455	397	458	407	399
chr13	46310033	46310543	LSD1_peak_4719	0	.	49	20	34	41	33	37	61	48
chr13	46314447	46314881	LSD1_peak_4720	0	.	42	36	32	48	54	31	45	44
chr13	46320429	46321116	LSD1_peak_4721	0	.	58	61	52	69	57	88	69	102
chr13	46332316	46333072	LSD1_peak_4722	0	.	46	46	70	78	72	76	63	95
chr13	46333849	46334165	LSD1_peak_4723	0	.	34	39	46	36	36	49	25	46
chr13	46339070	46339901	LSD1_peak_4724	0	.	74	61	95	79	101	92	115	83
chr13	46341047	46341471	LSD1_peak_4725	0	.	30	25	42	70	50	52	43	31
chr13	46354460	46355248	LSD1_peak_4726	0	.	54	92	106	86	99	109	94	93
chr13	46374541	46376538	LSD1_peak_4727	0	.	176	201	203	195	257	247	286	306
chr13	46376601	46378246	LSD1_peak_4728	0	.	169	200	201	239	224	276	240	258
chr13	46378344	46378865	LSD1_peak_4729	0	.	40	53	106	74	89	108	92	93
chr13	46379581	46380152	LSD1_peak_4730	0	.	50	44	70	63	38	72	82	82
chr13	46381628	46382837	LSD1_peak_4731	0	.	93	141	91	148	165	149	175	128
chr13	46383026	46384229	LSD1_peak_4732	0	.	124	164	144	130	142	201	149	173
chr13	46384539	46385877	LSD1_peak_4733	0	.	92	106	104	183	157	141	172	161
chr13	46386454	46386771	LSD1_peak_4734	0	.	34	25	36	26	17	35	38	23
chr13	46387003	46387304	LSD1_peak_4735	0	.	45	39	37	50	51	47	51	38
chr13	46403135	46405436	LSD1_peak_4736	0	.	252	245	313	316	291	342	334	295
chr13	46507830	46508414	LSD1_peak_4737	0	.	67	90	118	91	74	139	70	80
chr13	46554103	46554523	LSD1_peak_4738	0	.	28	38	49	42	51	38	55	39
chr13	46595709	46596641	LSD1_peak_4739	0	.	82	81	93	134	110	145	125	127
chr13	46675625	46675689	LSD1_peak_4740	0	.	5	16	11	7	12	13	17	15
chr13	46676063	46676444	LSD1_peak_4741	0	.	34	38	34	38	46	59	44	49
chr13	46684119	46684871	LSD1_peak_4742	0	.	33	43	64	68	74	112	81	86
chr13	46751785	46752157	LSD1_peak_4743	0	.	34	65	123	95	92	98	118	59
chr13	46854680	46855811	LSD1_peak_4744	0	.	109	108	151	129	128	173	160	159
chr13	46865462	46865504	LSD1_peak_4745	0	.	6	12	2	10	14	8	9	4
chr13	46865860	46867023	LSD1_peak_4746	0	.	80	93	115	105	115	113	97	135
chr13	46983147	46984013	LSD1_peak_4747	0	.	63	106	159	129	152	171	133	117
chr13	47671748	47673768	LSD1_peak_4748	0	.	188	159	269	263	213	285	247	208
chr13	47681127	47681261	LSD1_peak_4749	0	.	4	6	7	5	6	14	13	13
chr13	47903597	47904232	LSD1_peak_4750	0	.	53	46	51	65	57	65	65	65
chr13	47933641	47934125	LSD1_peak_4751	0	.	22	9	25	30	36	27	38	52
chr13	48037634	48037909	LSD1_peak_4752	0	.	16	37	48	22	30	32	37	44
chr13	48222166	48222584	LSD1_peak_4753	0	.	28	59	85	71	90	89	61	78
chr13	48222779	48222846	LSD1_peak_4754	0	.	6	9	4	7	13	10	13	9
chr13	48233410	48233821	LSD1_peak_4755	0	.	29	65	51	34	52	53	48	40
chr13	48304321	48304735	LSD1_peak_4756	0	.	55	45	68	67	59	77	78	78
chr13	48448711	48448762	LSD1_peak_4757	0	.	7	4	6	8	5	3	5	12
chr13	48492115	48492905	LSD1_peak_4758	0	.	85	102	174	167	137	188	102	99
chr13	48500624	48501560	LSD1_peak_4759	0	.	88	95	130	143	136	158	118	130
chr13	48505083	48506140	LSD1_peak_4760	0	.	100	124	133	112	117	109	136	149
chr13	48532398	48532646	LSD1_peak_4761	0	.	28	44	39	38	45	37	36	36
chr13	48533049	48533682	LSD1_peak_4762	0	.	83	71	58	67	50	88	71	62
chr13	48561526	48562874	LSD1_peak_4763	0	.	158	178	213	164	168	274	220	235
chr13	48567575	48568182	LSD1_peak_4764	0	.	42	48	86	76	100	82	91	64
chr13	48573181	48573496	LSD1_peak_4765	0	.	9	36	29	26	44	35	32	51
chr13	48573879	48574648	LSD1_peak_4766	0	.	114	74	57	93	87	121	92	100
chr13	48578749	48579895	LSD1_peak_4767	0	.	116	121	162	155	171	226	175	165
chr13	48586814	48587307	LSD1_peak_4768	0	.	32	36	27	48	56	61	57	36
chr13	48660316	48660668	LSD1_peak_4769	0	.	37	67	55	52	50	85	60	49
chr13	48859443	48859832	LSD1_peak_4770	0	.	44	46	52	53	48	87	81	60
chr13	48902252	48902430	LSD1_peak_4771	0	.	11	21	11	18	14	21	23	34
chr13	48976626	48976702	LSD1_peak_4772	0	.	12	19	14	25	12	31	25	29
chr13	48977075	48977190	LSD1_peak_4773	0	.	1	13	11	6	11	13	10	19
chr13	48977600	48978008	LSD1_peak_4774	0	.	26	30	47	46	32	52	35	35
chr13	48979675	48980038	LSD1_peak_4775	0	.	22	47	49	47	27	33	63	55
chr13	49132355	49132735	LSD1_peak_4776	0	.	25	19	88	53	39	57	31	45
chr13	49214471	49215343	LSD1_peak_4777	0	.	79	111	182	129	113	169	140	141
chr13	49418056	49418428	LSD1_peak_4778	0	.	30	34	36	34	34	51	23	42
chr13	49444375	49446588	LSD1_peak_4779	0	.	215	260	278	268	227	285	325	298
chr13	49447646	49447885	LSD1_peak_4780	0	.	17	13	13	14	20	16	20	27
chr13	49494978	49495400	LSD1_peak_4781	0	.	35	45	22	35	47	43	67	50
chr13	49495649	49495663	LSD1_peak_4782	0	.	1	2	2	5	0	2	10	0
chr13	49495715	49496127	LSD1_peak_4783	0	.	57	30	61	74	52	57	56	50
chr13	49618708	49618848	LSD1_peak_4784	0	.	8	16	8	8	21	23	15	8
chr13	49628165	49628814	LSD1_peak_4785	0	.	50	80	86	91	78	122	114	107
chr13	49641619	49642298	LSD1_peak_4786	0	.	44	80	120	95	84	144	112	93
chr13	49691232	49691553	LSD1_peak_4787	0	.	22	27	55	48	58	41	49	46
chr13	49935823	49936195	LSD1_peak_4788	0	.	27	49	64	39	42	35	55	47
chr13	49995677	49996701	LSD1_peak_4789	0	.	139	118	175	143	148	129	206	135
chr13	49998809	49999114	LSD1_peak_4790	0	.	29	35	39	30	40	41	42	30
chr13	49999547	49999634	LSD1_peak_4791	0	.	1	10	11	8	8	7	16	12
chr13	50000095	50000180	LSD1_peak_4792	0	.	6	10	9	12	6	8	9	8
chr13	50069709	50069978	LSD1_peak_4793	0	.	18	20	24	41	31	46	33	34
chr13	50071107	50071425	LSD1_peak_4794	0	.	21	37	31	30	27	33	38	42
chr13	50077631	50077946	LSD1_peak_4795	0	.	29	41	39	32	21	33	44	48
chr13	50079155	50079417	LSD1_peak_4796	0	.	33	18	28	50	42	36	46	38
chr13	50081492	50081938	LSD1_peak_4797	0	.	60	30	47	77	73	52	65	48
chr13	50083086	50083580	LSD1_peak_4798	0	.	40	62	52	60	75	53	93	60
chr13	50084048	50084516	LSD1_peak_4799	0	.	34	46	45	77	63	65	56	53
chr13	50107058	50107098	LSD1_peak_4800	0	.	3	10	11	7	9	6	9	7
chr13	50122846	50122937	LSD1_peak_4801	0	.	18	14	10	14	18	13	18	14
chr13	50123117	50123169	LSD1_peak_4802	0	.	7	8	6	8	6	6	11	9
chr13	50123503	50124277	LSD1_peak_4803	0	.	106	120	115	93	109	125	131	128
chr13	50125680	50126283	LSD1_peak_4804	0	.	80	90	57	76	84	97	105	77
chr13	50130740	50131319	LSD1_peak_4805	0	.	38	43	60	71	37	65	76	75
chr13	50208667	50210037	LSD1_peak_4806	0	.	160	132	217	192	205	249	230	180
chr13	50222618	50222912	LSD1_peak_4807	0	.	39	48	112	68	72	76	53	46
chr13	50224416	50224592	LSD1_peak_4808	0	.	14	13	26	23	14	25	28	18
chr13	50230198	50230992	LSD1_peak_4809	0	.	84	91	131	113	150	104	124	160
chr13	50290513	50290687	LSD1_peak_4810	0	.	19	11	17	16	27	21	11	15
chr13	50370300	50370532	LSD1_peak_4811	0	.	14	34	29	34	45	61	31	18
chr13	50511597	50512048	LSD1_peak_4812	0	.	65	44	46	61	50	60	39	58
chr13	50512268	50513145	LSD1_peak_4813	0	.	69	97	115	135	107	191	125	148
chr13	50625936	50626491	LSD1_peak_4814	0	.	42	52	102	89	82	75	79	57
chr13	50635221	50635249	LSD1_peak_4815	0	.	6	0	6	4	5	2	9	8
chr13	50635512	50636066	LSD1_peak_4816	0	.	36	40	79	86	55	65	77	73
chr13	50713680	50714463	LSD1_peak_4817	0	.	87	69	171	175	127	156	167	174
chr13	50714800	50715061	LSD1_peak_4818	0	.	26	18	24	23	13	19	20	23
chr13	50806089	50806336	LSD1_peak_4819	0	.	6	7	18	24	44	29	30	18
chr13	50807762	50808034	LSD1_peak_4820	0	.	26	14	43	9	30	45	35	57
chr13	50808868	50810061	LSD1_peak_4821	0	.	127	129	141	156	174	196	165	144
chr13	50810207	50811986	LSD1_peak_4822	0	.	132	166	188	226	201	226	271	195
chr13	50829900	50830355	LSD1_peak_4823	0	.	25	61	139	94	71	59	82	61
chr13	50892207	50892855	LSD1_peak_4824	0	.	55	44	76	71	49	80	61	111
chr13	50893575	50894585	LSD1_peak_4825	0	.	92	93	118	139	110	170	147	125
chr13	50909479	50910259	LSD1_peak_4826	0	.	70	83	79	105	110	98	138	122
chr13	50910579	50911436	LSD1_peak_4827	0	.	66	100	104	118	95	97	134	125
chr13	50911995	50912771	LSD1_peak_4828	0	.	72	68	151	98	128	136	108	108
chr13	50914538	50915448	LSD1_peak_4829	0	.	70	116	117	119	101	153	98	100
chr13	50915970	50917414	LSD1_peak_4830	0	.	134	134	182	210	120	224	223	192
chr13	50919204	50922246	LSD1_peak_4831	0	.	330	282	405	468	384	484	441	438
chr13	50922497	50922739	LSD1_peak_4832	0	.	22	24	30	30	25	31	24	26
chr13	50922947	50923463	LSD1_peak_4833	0	.	54	74	37	63	84	121	71	71
chr13	50924292	50924723	LSD1_peak_4834	0	.	43	51	34	39	33	43	39	32
chr13	50927367	50927502	LSD1_peak_4835	0	.	10	5	15	17	10	18	23	24
chr13	50927833	50927890	LSD1_peak_4836	0	.	1	11	6	12	10	17	11	7
chr13	50934360	50935348	LSD1_peak_4837	0	.	70	91	139	139	102	101	117	100
chr13	51330505	51331396	LSD1_peak_4838	0	.	104	78	162	125	156	161	129	140
chr13	51418760	51418931	LSD1_peak_4839	0	.	10	10	4	16	6	11	24	17
chr13	51453316	51453830	LSD1_peak_4840	0	.	58	86	89	51	32	73	79	80
chr13	51557462	51558087	LSD1_peak_4841	0	.	77	81	116	114	67	110	91	70
chr13	51558796	51559100	LSD1_peak_4842	0	.	29	26	21	17	18	26	39	25
chr13	51559933	51562844	LSD1_peak_4843	0	.	232	258	320	361	306	355	372	337
chr13	51583856	51584821	LSD1_peak_4844	0	.	87	108	125	131	110	141	160	135
chr13	51585961	51586265	LSD1_peak_4845	0	.	31	14	23	24	22	27	26	35
chr13	51599917	51600058	LSD1_peak_4846	0	.	11	9	13	11	13	25	11	20
chr13	51713422	51713595	LSD1_peak_4847	0	.	23	14	12	21	9	11	15	16
chr13	51714335	51714645	LSD1_peak_4848	0	.	22	23	42	23	31	32	30	31
chr13	51793730	51794453	LSD1_peak_4849	0	.	84	81	106	63	96	138	92	99
chr13	51809412	51809554	LSD1_peak_4850	0	.	7	13	10	13	18	11	12	19
chr13	51825262	51825825	LSD1_peak_4851	0	.	35	46	90	55	111	80	56	49
chr13	51827110	51827414	LSD1_peak_4852	0	.	20	34	42	44	44	47	64	29
chr13	52011975	52012121	LSD1_peak_4853	0	.	14	14	13	11	17	15	17	15
chr13	52159061	52159238	LSD1_peak_4854	0	.	31	23	44	37	21	38	27	23
chr13	52159258	52159659	LSD1_peak_4855	0	.	53	47	52	61	50	46	66	35
chr13	52450037	52450593	LSD1_peak_4856	0	.	65	69	78	71	73	101	108	73
chr13	52454765	52455263	LSD1_peak_4857	0	.	31	50	67	59	52	71	67	63
chr13	52455510	52456157	LSD1_peak_4858	0	.	69	86	86	95	80	134	112	126
chr13	52599976	52600100	LSD1_peak_4859	0	.	18	11	24	8	17	21	14	15
chr13	52921142	52921736	LSD1_peak_4860	0	.	28	40	91	87	49	64	64	86
chr13	57865773	57866256	LSD1_peak_4861	0	.	32	24	53	71	52	73	49	60
