Chr	start	stop	V4	V5	V6	M24C1_RUNX	M24C2_RUNX	M24D1_RUNX	M24D2_RUNX	M24G1_RUNX	M24G2_RUNX	M24Q1_RUNX	M24Q2_RUNX
chr11	32420965	32421270	RUNX_peak_329	0	.	33	36	50	64	80	54	38	52
chr11	33893627	33894205	RUNX_peak_330	0	.	80	120	65	79	153	144	78	100
chr11	33930234	33930848	RUNX_peak_331	0	.	73	86	65	64	82	78	66	110
chr11	34105296	34105771	RUNX_peak_332	0	.	58	96	57	65	61	71	57	63
chr11	34425861	34426162	RUNX_peak_333	0	.	37	53	36	72	107	65	44	44
chr11	36090976	36091531	RUNX_peak_334	0	.	46	61	45	49	94	70	63	74
chr11	44568987	44569380	RUNX_peak_335	0	.	69	68	27	63	119	68	51	64
chr11	44862297	44862492	RUNX_peak_336	0	.	52	60	54	44	75	63	42	46
chr11	46321650	46322127	RUNX_peak_337	0	.	24	65	46	58	79	71	37	48
chr11	46336667	46337164	RUNX_peak_338	0	.	56	110	45	75	129	114	58	83
chr11	46659733	46660218	RUNX_peak_339	0	.	46	82	59	75	97	84	90	78
chr11	46671096	46671271	RUNX_peak_340	0	.	36	51	18	26	40	48	33	38
chr11	47359522	47359978	RUNX_peak_341	0	.	59	65	79	73	86	91	72	80
chr11	47394659	47395121	RUNX_peak_342	0	.	67	87	66	83	122	61	110	85
chr11	47395176	47395369	RUNX_peak_343	0	.	24	16	21	16	23	21	28	18
chr11	47946896	47947254	RUNX_peak_344	0	.	49	62	25	30	81	64	41	39
chr11	57792311	57792856	RUNX_peak_345	0	.	41	118	38	48	91	78	57	55
chr11	58524937	58525526	RUNX_peak_346	0	.	40	37	39	62	89	60	51	55
chr11	58578558	58578937	RUNX_peak_347	0	.	79	60	44	65	64	64	60	51
chr11	59216688	59217411	RUNX_peak_348	0	.	109	173	83	84	146	156	106	108
chr11	60183080	60183366	RUNX_peak_349	0	.	31	26	20	14	36	14	36	34
chr11	60193985	60194452	RUNX_peak_350	0	.	28	37	40	53	55	37	48	54
chr11	60389847	60390117	RUNX_peak_351	0	.	32	16	13	25	41	30	30	28
chr11	62555639	62555864	RUNX_peak_352	0	.	57	29	24	16	28	48	42	32
chr11	62556401	62556952	RUNX_peak_353	0	.	85	90	65	73	155	88	83	85
chr11	63631722	63631848	RUNX_peak_354	0	.	11	14	13	10	19	13	9	11
chr11	64447994	64448429	RUNX_peak_355	0	.	66	98	90	91	127	102	80	68
chr11	64742946	64743309	RUNX_peak_356	0	.	45	62	58	58	70	40	40	75
chr11	64878687	64879117	RUNX_peak_357	0	.	70	95	86	90	141	78	86	66
chr11	65498963	65499103	RUNX_peak_358	0	.	41	45	26	18	27	32	43	26
chr11	65766637	65767037	RUNX_peak_359	0	.	46	61	46	57	84	43	72	64
chr11	65775577	65775851	RUNX_peak_360	0	.	25	30	27	22	46	24	32	41
chr11	65776006	65776552	RUNX_peak_361	0	.	43	64	61	74	115	96	71	54
chr11	66459378	66459571	RUNX_peak_362	0	.	11	34	7	22	26	11	26	26
chr11	67024565	67024926	RUNX_peak_363	0	.	73	66	56	46	88	54	34	46
chr11	67277334	67277577	RUNX_peak_364	0	.	50	29	28	36	82	38	48	58
chr11	67288451	67288766	RUNX_peak_365	0	.	75	70	45	25	59	54	62	49
chr11	68141744	68142146	RUNX_peak_366	0	.	36	29	40	44	63	36	36	41
chr11	68472119	68472278	RUNX_peak_367	0	.	39	44	15	24	38	40	21	38
chr11	68828776	68828976	RUNX_peak_368	0	.	28	62	43	26	25	51	21	50
chr11	68839355	68839590	RUNX_peak_369	0	.	24	63	16	17	24	28	31	31
chr11	69296823	69297898	RUNX_peak_370	0	.	198	226	160	199	234	230	193	203
chr11	69401728	69402028	RUNX_peak_371	0	.	52	34	33	38	52	60	24	59
chr11	70398401	70398927	RUNX_peak_372	0	.	86	93	109	82	171	112	109	96
chr11	70424232	70424420	RUNX_peak_373	0	.	45	40	41	40	45	45	44	36
chr11	72807552	72807909	RUNX_peak_374	0	.	24	29	40	38	54	42	38	63
chr11	72815607	72816192	RUNX_peak_375	0	.	66	63	66	84	108	93	63	69
chr11	73154217	73154626	RUNX_peak_376	0	.	56	42	31	43	101	86	46	78
chr11	73204614	73205247	RUNX_peak_377	0	.	106	120	116	145	193	187	112	137
chr11	73205657	73206043	RUNX_peak_378	0	.	54	61	62	82	148	104	72	36
chr11	73384991	73385445	RUNX_peak_379	0	.	52	60	56	53	70	37	58	89
chr11	75340754	75340969	RUNX_peak_380	0	.	31	49	35	22	41	42	33	38
chr11	78289730	78290472	RUNX_peak_381	0	.	115	128	86	128	171	115	137	124
chr11	78292003	78292425	RUNX_peak_382	0	.	50	41	41	67	63	76	51	40
chr11	78350592	78351002	RUNX_peak_383	0	.	36	50	13	24	48	35	41	35
chr11	78561031	78561261	RUNX_peak_384	0	.	25	30	12	7	35	37	12	25
chr11	85664882	85665111	RUNX_peak_385	0	.	30	42	26	24	61	25	33	38
chr11	94544448	94544617	RUNX_peak_386	0	.	19	14	20	17	18	17	28	14
chr11	94574296	94575014	RUNX_peak_387	0	.	75	107	100	124	178	156	115	108
chr11	95296634	95296935	RUNX_peak_388	0	.	50	57	25	36	60	55	51	48
chr11	102560529	102560994	RUNX_peak_389	0	.	40	47	65	44	82	47	41	40
chr11	107840830	107841093	RUNX_peak_390	0	.	30	51	54	32	60	60	43	57
chr11	108008966	108009282	RUNX_peak_391	0	.	40	39	25	24	41	37	37	23
chr11	114082646	114083226	RUNX_peak_392	0	.	64	102	87	136	162	116	74	90
chr11	115709357	115709558	RUNX_peak_393	0	.	27	55	20	26	46	45	23	16
chr11	118214188	118214657	RUNX_peak_394	0	.	57	49	61	84	97	108	77	68
chr11	120208025	120208193	RUNX_peak_395	0	.	4	17	17	20	40	34	25	16
chr11	120208530	120208929	RUNX_peak_396	0	.	47	38	32	52	66	37	49	63
chr11	120344270	120344715	RUNX_peak_397	0	.	68	117	61	62	113	96	90	67
chr11	121417113	121417656	RUNX_peak_398	0	.	90	151	95	93	196	147	115	153
chr11	121575243	121575595	RUNX_peak_399	0	.	65	93	19	27	80	86	93	66
chr11	125070631	125070903	RUNX_peak_400	0	.	62	77	28	31	34	33	51	53
chr11	125514418	125515020	RUNX_peak_401	0	.	95	147	111	126	180	136	99	124
chr11	125887618	125887979	RUNX_peak_402	0	.	59	80	34	61	69	53	50	58
chr11	126392607	126392932	RUNX_peak_403	0	.	33	73	34	50	88	47	45	41
chr11	128039435	128039859	RUNX_peak_404	0	.	26	46	41	41	74	64	39	66
chr11	128696081	128696274	RUNX_peak_405	0	.	9	15	15	4	14	28	23	25
chr12	610290	610530	RUNX_peak_406	0	.	28	31	28	34	65	41	25	31
chr12	642702	642747	RUNX_peak_407	0	.	15	12	7	7	12	12	3	10
chr12	1812636	1813112	RUNX_peak_408	0	.	64	68	62	63	84	114	67	61
chr12	2294816	2295130	RUNX_peak_409	0	.	42	75	48	54	78	76	68	63
chr12	2358611	2358937	RUNX_peak_410	0	.	36	82	36	38	119	42	58	60
chr12	3728453	3728904	RUNX_peak_411	0	.	62	47	55	66	102	50	118	85
chr12	6953605	6954004	RUNX_peak_412	0	.	120	90	67	91	100	73	94	63
chr12	6958637	6959455	RUNX_peak_413	0	.	106	107	86	114	123	111	101	116
chr12	9647845	9648231	RUNX_peak_414	0	.	52	50	31	46	67	52	75	74
chr12	9650391	9650452	RUNX_peak_415	0	.	9	8	9	5	22	5	10	17
chr12	9650656	9651510	RUNX_peak_416	0	.	130	138	112	111	210	123	125	128
chr12	10243799	10244263	RUNX_peak_417	0	.	72	96	61	79	114	92	74	79
chr12	11648620	11649167	RUNX_peak_418	0	.	72	73	126	83	102	79	104	103
chr12	11746287	11746543	RUNX_peak_419	0	.	27	47	37	43	46	39	33	46
chr12	11750277	11750728	RUNX_peak_420	0	.	51	43	48	54	81	94	57	59
chr12	11766242	11766534	RUNX_peak_421	0	.	29	39	43	47	58	62	29	37
chr12	11773786	11774253	RUNX_peak_422	0	.	74	61	43	68	119	106	66	64
chr12	11798589	11799394	RUNX_peak_423	0	.	67	136	71	103	189	194	95	91
chr12	11855670	11855921	RUNX_peak_424	0	.	25	39	43	48	54	60	14	82
chr12	12010079	12011077	RUNX_peak_425	0	.	133	209	133	112	235	175	146	170
chr12	12725148	12725387	RUNX_peak_426	0	.	38	52	32	28	48	70	34	53
chr12	12725902	12726156	RUNX_peak_427	0	.	31	34	33	30	24	30	37	30
chr12	14607617	14607976	RUNX_peak_428	0	.	43	50	38	65	98	81	53	62
chr12	25020569	25021050	RUNX_peak_429	0	.	49	79	35	46	104	75	57	57
chr12	25052345	25052490	RUNX_peak_430	0	.	14	26	24	16	25	13	20	16
chr12	25385462	25385684	RUNX_peak_431	0	.	4	25	25	16	16	22	23	33
chr12	26275001	26275245	RUNX_peak_432	0	.	14	24	23	24	29	19	15	19
chr12	26938415	26938572	RUNX_peak_433	0	.	35	44	22	20	24	23	20	23
chr12	27550047	27550362	RUNX_peak_434	0	.	16	17	16	24	36	26	33	42
chr12	27822428	27822605	RUNX_peak_435	0	.	14	22	31	21	32	27	7	10
chr12	28583669	28584152	RUNX_peak_436	0	.	52	55	48	46	60	48	56	71
chr12	29380952	29381244	RUNX_peak_437	0	.	53	39	53	28	74	39	46	47
chr12	31749099	31749426	RUNX_peak_438	0	.	81	86	42	53	120	77	49	66
chr12	31832811	31833098	RUNX_peak_439	0	.	54	51	40	35	73	63	30	52
chr12	31896410	31897257	RUNX_peak_440	0	.	104	78	92	122	125	122	113	94
chr12	32482318	32482790	RUNX_peak_441	0	.	48	58	40	61	80	65	58	46
chr12	40614945	40615255	RUNX_peak_442	0	.	25	42	37	64	72	52	49	52
chr12	42696723	42697049	RUNX_peak_443	0	.	64	70	50	76	110	87	75	91
chr12	45670505	45670680	RUNX_peak_444	0	.	19	33	22	24	68	40	17	18
chr12	46217808	46218430	RUNX_peak_445	0	.	57	139	71	114	160	115	88	109
chr12	48957296	48957953	RUNX_peak_446	0	.	148	119	131	134	172	139	150	105
chr12	51323992	51324165	RUNX_peak_447	0	.	24	26	24	13	35	10	23	19
chr12	53205844	53205993	RUNX_peak_448	0	.	19	32	19	22	32	31	18	24
chr12	53208996	53209171	RUNX_peak_449	0	.	38	41	14	23	56	42	15	20
chr12	53217359	53217778	RUNX_peak_450	0	.	44	71	41	49	83	49	48	81
chr12	53365611	53366159	RUNX_peak_451	0	.	47	79	50	60	100	56	82	87
chr12	53626162	53626397	RUNX_peak_452	0	.	29	54	25	25	45	19	35	34
chr12	54303963	54304640	RUNX_peak_453	0	.	132	177	139	168	210	165	156	163
chr12	54413482	54413769	RUNX_peak_454	0	.	23	31	35	29	44	41	40	33
chr12	55676624	55676697	RUNX_peak_455	0	.	8	2	9	5	23	13	5	7
chr12	64749836	64750021	RUNX_peak_456	0	.	26	26	17	20	27	32	22	26
chr12	64943816	64943951	RUNX_peak_457	0	.	30	47	8	28	43	44	20	21
chr12	66145055	66145291	RUNX_peak_458	0	.	20	39	22	52	95	43	38	51
chr12	66169443	66170089	RUNX_peak_459	0	.	94	82	108	78	101	77	110	74
chr12	66241309	66241905	RUNX_peak_460	0	.	90	81	92	114	199	157	83	125
chr12	67268932	67269215	RUNX_peak_461	0	.	97	101	49	47	94	60	74	79
chr12	68364986	68365630	RUNX_peak_462	0	.	127	85	143	117	225	189	106	152
chr12	69337908	69338356	RUNX_peak_463	0	.	68	67	38	65	108	97	52	61
chr12	71663541	71663920	RUNX_peak_464	0	.	39	69	41	52	72	52	64	68
chr12	75478340	75478667	RUNX_peak_465	0	.	37	40	29	33	51	47	36	46
chr12	78034205	78034555	RUNX_peak_466	0	.	32	72	50	40	89	46	39	37
chr12	87509912	87510223	RUNX_peak_467	0	.	10	23	18	33	25	26	24	24
chr12	89733372	89734222	RUNX_peak_468	0	.	123	205	115	126	214	176	118	154
chr12	92070967	92071583	RUNX_peak_469	0	.	59	78	67	80	117	92	70	116
chr12	92769204	92769584	RUNX_peak_470	0	.	59	33	38	53	86	60	36	66
chr12	94640593	94640745	RUNX_peak_471	0	.	30	28	23	17	43	39	22	25
chr12	96121112	96121524	RUNX_peak_472	0	.	46	45	42	55	66	53	39	44
chr12	98618971	98619312	RUNX_peak_473	0	.	29	29	29	35	60	57	42	48
chr12	104177828	104178047	RUNX_peak_474	0	.	25	12	10	25	45	41	18	16
chr12	104478265	104478661	RUNX_peak_475	0	.	39	50	23	27	70	78	45	64
chr12	104569830	104570051	RUNX_peak_476	0	.	35	79	46	42	77	81	43	67
chr12	104670056	104670330	RUNX_peak_477	0	.	22	43	22	24	50	47	38	42
chr12	104671581	104672042	RUNX_peak_478	0	.	90	63	55	62	125	109	59	69
chr12	104687816	104688271	RUNX_peak_479	0	.	35	64	71	90	123	87	51	55
chr12	108633761	108633988	RUNX_peak_480	0	.	41	34	26	25	42	40	37	43
chr12	108634690	108634769	RUNX_peak_481	0	.	21	13	11	7	14	11	10	16
chr12	108635239	108635452	RUNX_peak_482	0	.	38	27	19	31	45	47	39	37
chr12	108635516	108635576	RUNX_peak_483	0	.	6	11	3	4	6	8	5	7
chr12	108838281	108838763	RUNX_peak_484	0	.	95	64	43	83	124	115	81	88
chr12	110661529	110661778	RUNX_peak_485	0	.	44	73	48	45	61	39	59	84
chr12	110694049	110694443	RUNX_peak_486	0	.	30	10	17	14	38	28	37	35
chr12	110742988	110743142	RUNX_peak_487	0	.	28	24	21	8	29	16	17	21
chr12	111757606	111758276	RUNX_peak_488	0	.	140	106	114	79	165	100	102	141
chr12	111775633	111775782	RUNX_peak_489	0	.	8	24	13	17	25	28	10	35
chr12	111994350	111995222	RUNX_peak_490	0	.	71	73	80	83	163	117	95	63
chr12	112140856	112141065	RUNX_peak_491	0	.	42	52	50	48	81	63	20	27
chr12	113207790	113208817	RUNX_peak_492	0	.	147	255	146	168	309	207	207	197
chr12	113214883	113215393	RUNX_peak_493	0	.	64	110	77	87	142	96	69	69
chr12	116559323	116560042	RUNX_peak_494	0	.	147	156	146	141	234	184	175	161
chr12	116635287	116635925	RUNX_peak_495	0	.	62	86	64	58	87	127	82	72
chr12	116676690	116677552	RUNX_peak_496	0	.	98	99	91	76	140	97	121	106
chr12	118016573	118016722	RUNX_peak_497	0	.	75	65	33	31	39	50	41	54
chr12	118330646	118330806	RUNX_peak_498	0	.	18	11	8	8	19	19	18	21
chr12	118335253	118335347	RUNX_peak_499	0	.	5	12	11	13	13	5	10	12
chr12	120194782	120194937	RUNX_peak_500	0	.	19	11	11	4	4	5	24	17
chr12	120217069	120217381	RUNX_peak_501	0	.	38	27	22	40	38	37	39	17
chr12	121144238	121144865	RUNX_peak_502	0	.	52	65	68	64	122	87	79	72
chr12	121145156	121145377	RUNX_peak_503	0	.	22	6	8	13	29	22	27	23
chr12	121258275	121258581	RUNX_peak_504	0	.	23	19	18	25	22	39	29	27
chr12	121425182	121425631	RUNX_peak_505	0	.	49	92	44	59	101	63	61	80
chr12	121461149	121461355	RUNX_peak_506	0	.	24	17	12	22	16	28	38	25
chr12	121649803	121650107	RUNX_peak_507	0	.	33	54	38	72	93	59	44	65
chr12	121658729	121659228	RUNX_peak_508	0	.	41	43	44	79	55	75	72	58
chr12	122752570	122753091	RUNX_peak_509	0	.	287	308	251	238	388	245	279	243
chr12	124380316	124380851	RUNX_peak_510	0	.	77	91	78	83	123	86	88	78
chr12	124390996	124391103	RUNX_peak_511	0	.	6	5	9	10	20	15	13	14
chr12	124391380	124391382	RUNX_peak_512	0	.	22	11	15	14	21	14	21	31
chr12	126506661	126507102	RUNX_peak_513	0	.	60	94	63	36	88	83	87	61
chr12	128823763	128824151	RUNX_peak_514	0	.	135	121	114	67	128	106	112	70
chr12	128830221	128830265	RUNX_peak_515	0	.	11	9	10	5	19	14	6	9
chr13	21140465	21140685	RUNX_peak_516	0	.	36	59	32	32	48	25	20	55
chr13	21176223	21177048	RUNX_peak_517	0	.	298	336	297	223	389	312	310	280
chr13	21218858	21219023	RUNX_peak_518	0	.	30	20	18	35	29	16	48	49
chr13	21603936	21604348	RUNX_peak_519	0	.	140	177	142	112	144	112	141	130
chr13	21985971	21986240	RUNX_peak_520	0	.	30	43	38	37	66	65	16	31
chr13	22114810	22115193	RUNX_peak_521	0	.	90	93	71	74	127	82	83	86
chr13	25802328	25803165	RUNX_peak_522	0	.	127	137	132	157	181	159	140	210
chr13	25872981	25873433	RUNX_peak_523	0	.	45	80	39	68	128	148	115	105
chr13	25875129	25875308	RUNX_peak_524	0	.	26	26	30	37	53	37	35	26
chr13	28031673	28032014	RUNX_peak_525	0	.	29	56	42	54	84	70	66	58
chr13	28094546	28094798	RUNX_peak_526	0	.	37	37	28	38	36	28	37	51
chr13	28100097	28100970	RUNX_peak_527	0	.	201	205	169	170	259	159	202	192
chr13	28106906	28107399	RUNX_peak_528	0	.	74	79	56	85	120	94	67	70
chr13	28139057	28139403	RUNX_peak_529	0	.	71	69	55	69	83	62	83	58
chr13	28139924	28140166	RUNX_peak_530	0	.	35	30	18	15	30	37	38	39
chr13	28245359	28246070	RUNX_peak_531	0	.	84	93	89	92	111	85	101	78
chr13	28248402	28248687	RUNX_peak_532	0	.	43	55	32	33	56	50	49	54
chr13	28268538	28269396	RUNX_peak_533	0	.	147	175	106	158	295	158	164	176
chr13	28527568	28528119	RUNX_peak_534	0	.	63	86	64	69	85	82	88	83
chr13	29160954	29161154	RUNX_peak_535	0	.	53	46	24	53	93	81	30	51
chr13	29165728	29166216	RUNX_peak_536	0	.	59	91	68	92	118	124	90	71
chr13	29758737	29759070	RUNX_peak_537	0	.	98	130	75	123	163	150	104	118
chr13	30690469	30690558	RUNX_peak_538	0	.	29	28	13	9	26	16	21	22
chr13	30712888	30713550	RUNX_peak_539	0	.	111	132	99	97	159	117	93	119
chr13	30720200	30720926	RUNX_peak_540	0	.	133	95	115	107	154	156	70	104
chr13	30735160	30735678	RUNX_peak_541	0	.	91	117	86	66	167	115	88	134
chr13	30737531	30738023	RUNX_peak_542	0	.	91	122	76	99	136	97	103	96
chr13	31039157	31039533	RUNX_peak_543	0	.	60	95	54	58	84	92	78	75
chr13	31920510	31920856	RUNX_peak_544	0	.	58	90	37	60	77	60	52	62
chr13	32115292	32115439	RUNX_peak_545	0	.	23	16	30	37	50	30	29	17
chr13	32115911	32117909	RUNX_peak_546	0	.	345	340	214	320	445	400	315	394
chr13	32124901	32125932	RUNX_peak_547	0	.	130	89	148	131	243	238	139	205
chr13	32314487	32315695	RUNX_peak_548	0	.	172	188	163	185	277	227	178	206
chr13	32894788	32895341	RUNX_peak_549	0	.	101	130	83	116	180	147	104	93
chr13	35722344	35722793	RUNX_peak_550	0	.	41	45	52	63	52	88	25	41
chr13	35994508	35994749	RUNX_peak_551	0	.	22	17	8	18	48	17	29	21
chr13	36418172	36418407	RUNX_peak_552	0	.	42	36	31	35	90	58	62	40
chr13	36451349	36451888	RUNX_peak_553	0	.	99	136	93	117	192	163	122	103
chr13	40402314	40402637	RUNX_peak_554	0	.	56	75	49	70	91	69	73	57
chr13	41004578	41005537	RUNX_peak_555	0	.	141	186	145	195	288	156	190	175
chr13	41008215	41008283	RUNX_peak_556	0	.	3	7	3	9	6	10	6	12
chr13	42271907	42272266	RUNX_peak_557	0	.	104	157	65	84	138	98	166	69
chr13	45826821	45827094	RUNX_peak_558	0	.	24	43	24	31	46	46	37	42
chr13	46171132	46171289	RUNX_peak_559	0	.	6	16	17	19	17	25	15	17
chr13	46176887	46177063	RUNX_peak_560	0	.	34	65	32	44	58	55	50	36
chr13	46179457	46179972	RUNX_peak_561	0	.	109	93	69	112	175	91	90	86
chr13	46295589	46296200	RUNX_peak_562	0	.	131	132	123	189	233	177	129	153
chr13	46377278	46377991	RUNX_peak_563	0	.	88	107	93	100	146	138	110	127
chr13	46751853	46752100	RUNX_peak_564	0	.	44	99	31	52	75	93	52	50
chr13	46855200	46855414	RUNX_peak_565	0	.	24	38	18	35	76	53	22	33
chr13	48562180	48562896	RUNX_peak_566	0	.	122	137	92	72	173	187	82	119
chr13	48579073	48579393	RUNX_peak_567	0	.	45	78	41	39	52	50	36	80
chr13	49443775	49444058	RUNX_peak_568	0	.	50	67	38	42	48	36	33	47
chr13	49996230	49996731	RUNX_peak_569	0	.	66	90	81	58	111	72	97	80
chr13	50124103	50124164	RUNX_peak_570	0	.	21	10	19	2	13	11	4	9
chr13	50230623	50230633	RUNX_peak_571	0	.	3	7	2	7	11	9	2	9
chr13	50713810	50714362	RUNX_peak_572	0	.	81	103	75	99	141	136	99	101
chr13	50809235	50809453	RUNX_peak_573	0	.	23	32	15	47	54	48	24	23
chr13	50810960	50811177	RUNX_peak_574	0	.	28	25	16	22	17	44	46	35
chr13	50916614	50917294	RUNX_peak_575	0	.	68	75	81	87	103	90	64	85
chr13	50920323	50920603	RUNX_peak_576	0	.	29	12	27	33	48	25	35	42
chr13	50921822	50922090	RUNX_peak_577	0	.	45	49	31	72	51	70	55	47
chr13	51793768	51793935	RUNX_peak_578	0	.	23	11	11	9	23	24	21	11
chr13	52455581	52455758	RUNX_peak_579	0	.	22	47	12	11	22	16	24	23
chr13	63381641	63381667	RUNX_peak_580	0	.	14	5	1	3	8	16	13	5
chr13	67554246	67554686	RUNX_peak_581	0	.	74	93	80	86	117	96	80	78
chr13	71866944	71867184	RUNX_peak_582	0	.	34	29	40	34	26	45	42	51
chr13	71867248	71867509	RUNX_peak_583	0	.	62	71	49	37	60	88	84	52
chr13	75505424	75505577	RUNX_peak_584	0	.	17	48	14	27	43	32	25	18
chr13	76745568	76746120	RUNX_peak_585	0	.	67	71	82	112	128	99	56	116
chr13	76879509	76879793	RUNX_peak_586	0	.	36	77	40	48	85	73	26	94
chr13	79128241	79128414	RUNX_peak_587	0	.	18	40	27	17	54	32	21	31
chr13	79194669	79194873	RUNX_peak_588	0	.	17	20	14	22	20	15	18	12
chr13	79405861	79406369	RUNX_peak_589	0	.	78	73	86	54	90	94	78	102
chr13	87124171	87124461	RUNX_peak_590	0	.	87	67	31	55	85	45	74	100
chr13	88919933	88920288	RUNX_peak_591	0	.	58	65	28	63	93	62	67	101
chr13	92224505	92224985	RUNX_peak_592	0	.	77	68	53	63	90	64	69	89
chr13	95509766	95510213	RUNX_peak_593	0	.	65	94	73	76	78	75	84	53
chr13	97210430	97210698	RUNX_peak_594	0	.	44	60	33	52	100	97	35	46
chr13	97387090	97387797	RUNX_peak_595	0	.	173	181	101	101	342	224	102	103
chr13	99144237	99144704	RUNX_peak_596	0	.	117	188	87	118	184	159	141	95
chr13	99256770	99257274	RUNX_peak_597	0	.	90	87	96	115	186	115	109	135
chr13	99258996	99259346	RUNX_peak_598	0	.	39	41	30	53	73	66	32	56
chr13	99277926	99278470	RUNX_peak_599	0	.	93	111	67	111	125	103	104	106
chr13	99282059	99282275	RUNX_peak_600	0	.	64	58	23	50	57	52	39	66
chr13	99312396	99312823	RUNX_peak_601	0	.	112	130	65	88	173	151	97	123
chr13	99322310	99322363	RUNX_peak_602	0	.	12	8	10	7	17	19	10	9
chr13	104837764	104837962	RUNX_peak_603	0	.	29	34	36	27	48	62	44	71
chr13	104869507	104869760	RUNX_peak_604	0	.	39	49	27	40	56	60	43	38
chr13	105139727	105140108	RUNX_peak_605	0	.	26	33	33	29	66	56	48	58
chr13	106464076	106464526	RUNX_peak_606	0	.	62	62	44	63	82	69	42	72
chr13	109131491	109131932	RUNX_peak_607	0	.	56	64	65	61	61	92	61	70
chr13	109162403	109162599	RUNX_peak_608	0	.	28	33	17	23	35	30	28	20
chr13	109389655	109390216	RUNX_peak_609	0	.	99	87	83	160	196	157	85	103
chr13	110138252	110138489	RUNX_peak_610	0	.	38	60	28	55	81	48	41	43
chr13	110161004	110161508	RUNX_peak_611	0	.	46	36	37	55	105	88	66	82
chr13	110520880	110521115	RUNX_peak_612	0	.	34	31	42	47	84	37	45	49
chr13	110575826	110576073	RUNX_peak_613	0	.	35	30	28	35	40	30	39	73
chr13	113296846	113297434	RUNX_peak_614	0	.	392	436	302	272	366	289	369	294
chr13	113741524	113741733	RUNX_peak_615	0	.	29	37	23	32	45	44	39	51
chr13	113862927	113863267	RUNX_peak_616	0	.	70	74	61	68	83	84	112	60
chr13	113916510	113916719	RUNX_peak_617	0	.	30	63	34	39	46	34	43	52
chr13	114062911	114063161	RUNX_peak_618	0	.	46	61	43	42	69	47	62	45
chr13	114064824	114066164	RUNX_peak_619	0	.	261	266	250	267	407	234	254	229
chr13	114067406	114067809	RUNX_peak_620	0	.	43	58	52	64	72	84	41	83
chr13	114222584	114222795	RUNX_peak_621	0	.	17	27	15	18	42	41	31	26
chr13	114281321	114282089	RUNX_peak_622	0	.	199	176	215	134	300	235	230	238
chr14	20180418	20180572	RUNX_peak_623	0	.	27	8	19	19	31	14	29	15
chr14	20427594	20428251	RUNX_peak_624	0	.	67	51	69	63	97	59	46	71
chr14	20794677	20795097	RUNX_peak_625	0	.	68	93	58	97	132	119	54	100
chr14	20891277	20891583	RUNX_peak_626	0	.	35	26	43	50	49	46	45	48
chr14	20955036	20955753	RUNX_peak_627	0	.	108	89	72	94	118	120	101	128
chr14	22460484	22460688	RUNX_peak_628	0	.	21	40	19	15	52	50	21	31
chr14	22555953	22556902	RUNX_peak_629	0	.	278	296	238	254	453	332	253	311
chr14	24033011	24033243	RUNX_peak_630	0	.	22	36	20	31	48	38	27	25
chr14	24313302	24313563	RUNX_peak_631	0	.	24	39	35	20	38	25	40	43
chr14	24659991	24660499	RUNX_peak_632	0	.	80	85	56	107	121	133	97	126
chr14	26199621	26199906	RUNX_peak_633	0	.	36	89	40	38	80	70	64	55
chr14	35286112	35286242	RUNX_peak_634	0	.	3	5	12	14	18	15	7	9
chr14	50003491	50003809	RUNX_peak_635	0	.	41	56	54	59	72	44	35	70
chr14	50061148	50061578	RUNX_peak_636	0	.	53	56	60	71	107	89	50	59
chr14	60753696	60753947	RUNX_peak_637	0	.	37	70	45	50	77	68	46	62
chr14	64673830	64674199	RUNX_peak_638	0	.	72	74	52	76	104	97	59	61
chr14	65210130	65210460	RUNX_peak_639	0	.	56	67	22	66	67	59	67	73
chr14	67488364	67488933	RUNX_peak_640	0	.	124	107	100	112	161	132	131	147
chr14	69767642	69767854	RUNX_peak_641	0	.	44	55	30	26	29	25	30	46
chr14	70882811	70883110	RUNX_peak_642	0	.	14	16	31	29	47	42	30	33
chr14	73180277	73180727	RUNX_peak_643	0	.	55	39	40	56	76	67	38	31
chr14	73311570	73311785	RUNX_peak_644	0	.	28	22	23	28	48	28	29	26
chr14	75287609	75288011	RUNX_peak_645	0	.	60	59	26	69	91	42	48	63
chr14	76720625	76721094	RUNX_peak_646	0	.	49	80	58	68	94	104	66	56
chr14	76863961	76864231	RUNX_peak_647	0	.	29	31	25	23	50	16	26	29
chr14	77406884	77407540	RUNX_peak_648	0	.	68	47	85	63	108	60	83	71
chr14	81401307	81401449	RUNX_peak_649	0	.	13	8	11	7	19	8	20	10
chr14	81416318	81416854	RUNX_peak_650	0	.	46	49	54	42	73	61	51	56
chr14	81772459	81772674	RUNX_peak_651	0	.	20	39	30	34	63	63	31	29
chr14	89504464	89505036	RUNX_peak_652	0	.	80	92	62	61	119	80	87	62
chr14	89681331	89681655	RUNX_peak_653	0	.	24	45	12	24	39	28	36	36
chr14	89720794	89721052	RUNX_peak_654	0	.	29	31	11	28	47	36	24	31
chr14	90644992	90645309	RUNX_peak_655	0	.	34	44	30	49	50	66	47	53
chr14	91243453	91243796	RUNX_peak_656	0	.	59	93	34	51	90	47	68	67
chr14	92729934	92730054	RUNX_peak_657	0	.	26	28	10	14	23	7	21	6
chr14	95185696	95185906	RUNX_peak_658	0	.	16	22	14	20	8	23	27	25
chr14	96783760	96784388	RUNX_peak_659	0	.	69	66	52	62	85	77	55	60
